NN;lex_rus;lang;class;lex_nd;first_cons;cons_type_old;cons_type;CL_SG;final_cons;fin_cons_type;POST_SG;first_vowel;vowel_type;lex_rus_sem;compound;semantics_KK;semantics_KK_detailed;;;;;
120;jagnenok do odnogo goda;cham;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;chamg;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;inh;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;tsez;3;ʟeli;ʟ;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;gin;3;ʟeli;ʟ;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;bezht;3;ʟile;ʟ;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;bezhh;3;ʟile;ʟ;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;gunz;3;ʟile;ʟ;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;lak;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;arch;4;ʟ'al;ʟ';liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;rutl;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;tsah;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;tsahg;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;tsahc;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;kryz;NA;NA;NA;NA;NA;NA;;;0;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;bud;3;kel;k;plosive.post;plosive.post;NA;l;liquid;0;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok do odnogo goda;hin;3;k'u;k';plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;and;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;cham;3;ʟ'ili;ʟ';liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;chamg;3;ʟ'edir;ʟ';liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;inh;5;ʟile;ʟ;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;tsez;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;gin;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;bezht;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;bezhh;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;gunz;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;lak;3;č'i;č';anterior;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;arch;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;rutl;3;gel;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;tsah;3;gew;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;tsahg;3;gew;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;tsahc;3;gew;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;kryz;3;kěl;k;plosive.post;plosive.post;NA;l;liquid;0;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;bud;NA;NA;NA;NA;NA;NA;;;0;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (a) do neckol'kikh mecjatsev;hin;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;and;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;cham;3;jet'ana;j;anterior;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;chamg;3;ret'ana;r;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;inh;5;rot'on;r;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;tsez;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;gin;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;bezht;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;bezhh;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;gunz;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;lak;3;sːi;sː;anterior;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;arch;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;rutl;3;urg;NA;NA;NA;1;;;;u;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;tsah;3;urg;NA;NA;NA;NA;;;;u;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;tsahg;3;urg;NA;NA;NA;NA;;;;u;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;tsahc;3;urg;NA;NA;NA;NA;;;;u;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;kryz;3;viq'ěr;v;labial;labial;NA;r;liquid;0;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;bud;NA;NA;NA;NA;NA;NA;;;0;;;;0;dom.anim;ovtsa;;;;;
120;jagnenok (b) ot neck mecjatsev do goda;hin;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;and;3;išk'ol;NA;NA;NA;NA;;;;i;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;cham;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;chamg;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;inh;3;reɬab;r;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;tsez;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;gin;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;bezht;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;bezhh;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;gunz;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;lak;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;arch;3;baq'ari;b;labial;labial;1;;;;;;do dvukh let;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;arch;3;č'eren;č';anterior;anterior;NA;;;;;;ot 2 do 3 let;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;arch;4;č'eren;č';anterior;anterior;NA;;;;;;ot 2 do 3 let;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;rutl;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;tsah;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;tsahg;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;tsahc;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;kryz;NA;NA;NA;NA;NA;NA;;;0;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;bud;NA;NA;NA;NA;NA;NA;;;0;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja ot odnogo goda do 2-3 let;hin;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;and;3;horč'ːin;h;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;cham;3;has'im;h;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;chamg;3;hac'in;h;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;inh;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;tsez;3;aqoni;NA;NA;NA;NA;;;;a;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;gin;3;aqana;NA;NA;NA;NA;;;;a;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;bezht;3;ʕörk'en;ʕ;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;bezhh;3;örk'en;NA;NA;NA;NA;;;;ö;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;gunz;3;ʕork'en;ʕ;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;lak;3;nuːšːa;n;nasal;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;arch;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;rutl;3;nüšej;n;nasal;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;tsah;3;nušej;n;nasal;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;tsahg;3;nušej;n;nasal;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;tsahc;3;nušej;n;nasal;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;kryz;3;xidil viq'ěr;x;fricative.post;fricative.post;NA;r;liquid;0;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;bud;3;šeg;š;anterior;anterior;NA;g;plosive.post;0;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (a) camka;hin;3;šag;š;anterior;anterior;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;and;3;rebʟa;r;liquid;liquid;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;cham;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;chamg;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;inh;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;tsez;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;gin;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;bezht;3;ʜöržö;ʜ;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;bezhh;3;höržö;h;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;gunz;3;ʜoržu;ʜ;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;lak;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;arch;NA;NA;NA;NA;NA;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;rutl;3;ɢarg;ɢ;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;tsah;3;gonna ʁarg;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;tsahg;3;qʷanna;qʷ;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;tsahc;3;gonna;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;kryz;3;miǧil viq'ěr;m;nasal;labial;NA;r;liquid;0;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;bud;3;viq'er;v;labial;labial;1;r;liquid;0;;;;0;dom.anim;ovtsa;;;;;
121;ovtsa molodaja (b) camets;hin;3;vuq'ar;v;labial;labial;NA;;;;;;;0;dom.anim;ovtsa;;;;;
122;korova;and;3;ziwu;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;cham;3;zin;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;chamg;3;zini;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;inh;3;zĩje;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;tsez;3;zija;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;gin;3;ʁʷero;ʁʷ;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;bezht;3;wara;w;labial;labial;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;bezhh;3;wara;w;labial;labial;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;gunz;3;hɵrɵ;h;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;lak;3;u1l;NA;NA;NA;NA;;;;u1;;;0;dom.anim;korova;;;;;
122;korova;arch;3;χ1on;χ;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;rutl;3;zer;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;tsah;3;zer;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;tsahg;3;zär;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;tsahc;3;zer;z;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
122;korova;kryz;3;zar // ʒar;z // ʒ;anterior;anterior;NA;r;liquid;0;;;;0;dom.anim;korova;;;;;
122;korova;bud;3;zər;z;anterior;anterior;NA;r;liquid;0;;;;0;dom.anim;korova;;;;;
122;korova;hin;3;lac // lucoz;l;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');and;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');cham;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');chamg;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');inh;3;reč'eta;r;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');tsez;3;gani;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');gin;3;gani;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');bezht;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');bezhh;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');gunz;3;gane;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');lak;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');arch;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');rutl;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');tsah;3;boʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');tsahg;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');tsahc;3;boʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');kryz;3;boʁa;b;labial;labial;NA;vowel;NA;0;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');bud;3;ʜani;ʜ;fricative.post;fricative.post;NA;vowel;NA;0;;;;0;dom.anim;korova;;;;;
123;byk (proizvoditel');hin;3;buʁa;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
124;vol;and;3;unso;NA;NA;NA;NA;;;;u;;;0;dom.anim;korova;;;;;
124;vol;cham;3;musa;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
124;vol;chamg;3;musa;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
124;vol;inh;3;ẽs;NA;NA;NA;NA;;;;ẽ;;;0;dom.anim;korova;;;;;
124;vol;tsez;3;is;NA;NA;NA;NA;;;;i;;;0;dom.anim;korova;;;;;
124;vol;gin;3;iš;NA;NA;NA;NA;;;;i;;;0;dom.anim;korova;;;;;
124;vol;bezht;3;õs;NA;NA;NA;NA;;;;õ;;;0;dom.anim;korova;;;;;
124;vol;bezhh;3;os;NA;NA;NA;NA;;;;o;;;0;dom.anim;korova;;;;;
124;vol;gunz;3;õs;NA;NA;NA;NA;;;;õ;;;0;dom.anim;korova;;;;;
124;vol;lak;3;nic;n;nasal;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
124;vol;arch;3;ans;NA;NA;NA;NA;;;;a;;;0;dom.anim;korova;;;;;
124;vol;rutl;3;jas;j;anterior;anterior;1;;;;;;;0;dom.anim;korova;;;;;
124;vol;tsah;3;jac;j;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
124;vol;tsahg;3;jac;j;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
124;vol;tsahc;3;jac;j;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
124;vol;kryz;3;ʜäni;ʜ;fricative.post;fricative.post;NA;vowel;NA;0;;;;0;dom.anim;korova;;;;;
124;vol;bud;3;k'orə;k';plosive.post;plosive.post;NA;vowel;NA;0;;;;0;dom.anim;korova;;;;;
124;vol;hin;3;lix // lixiz;l;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);and;3;ʁajč'a;ʁ;fricative.post;fricative.post;NA;;;;;;odnogo-dvukh let;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);and;3;č'ora;č';anterior;anterior;NA;;;;;;dvukh-tchetyrekh let;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);cham;3;č'aː;č';anterior;anterior;NA;;;;;;dvukh-tchetyrekh let;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);chamg;3;č'ara;č';anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);inh;5;č'oro;č';anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);tsez;3;mešori;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);gin;3;meširo;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);bezht;3;riže;r;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);bezhh;3;riže;r;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);gunz;3;riže;r;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);lak;3;ba1rč;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);arch;4;χ1orč'i;χ;fricative.post;fricative.post;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);rutl;3;lɨč';l;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);tsah;3;wɨč'e;w;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);tsahg;3;wɨč'e;w;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);tsahc;3;wuč'e;w;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);kryz;3;duga;d;anterior;anterior;NA;vowel;NA;0;;;pocle 6 mecjatsev;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);bud;3;novur;n;nasal;anterior;NA;r;liquid;0;;;;0;dom.anim;korova;;;;;
125;telka (ot odnogo goda do trekh let);hin;3;somɨ;s;anterior;anterior;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);and;3;ɬedir;ɬ;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);cham;3;ɬedi;ɬ;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);chamg;3;ɬedir;ɬ;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);inh;5;miše;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);tsez;3;meši;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);gin;3;meši;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);bezht;3;biše;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);bezhh;3;biše;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);gunz;3;biše;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);lak;3;ba1rč;b;labial;labial;1;;;;;;do 7 mecjatsev;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);lak;3;q'unča;q';plosive.post;plosive.post;NA;;;;;;pocle 7 mecjatsev;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);arch;4;biš;b;labial;labial;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);rutl;3;q'ɨq;q';plosive.post;plosive.post;NA;;;;;;neckol'kikh mecjatsev;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);rutl;3;dana;d;anterior;anterior;1;;;;;;camets do goda;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);rutl;3;šesaj;š;anterior;anterior;NA;;;;;;camka do goda;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);tsah;3;q'ɨka;q';plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);tsahg;3;q'ɨka;q';plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);tsahc;3;q'ɨka;q';plosive.post;plosive.post;NA;;;;;;do 6 mecjatsev;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);kryz;3;leʜ // lěʜ;l;liquid;liquid;NA;ʜ;fricative.post;0;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);bud;3;läʜ;l;liquid;liquid;NA;ʜ;fricative.post;0;;;;0;dom.anim;korova;;;;;
126;telenok (do odnogo goda);hin;3;läq // liqez;l;liquid;liquid;NA;;;;;;;0;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);and;3;milča;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);cham;3;ʁada-č'a;ʁ;fricative.post;fricative.post;NA;;;;;;2-4 let;1;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);chamg;3;ʁada-č'a;ʁ;fricative.post;fricative.post;NA;;;;;;2-4 let;1;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);inh;5;q'ʷ1enu;q'ʷ;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);tsez;3;moʜodi;m;nasal;labial;NA;;;;;;;0;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);gin;3;boju;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);bezht;3;gane;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);bezhh;3;gane;g;plosive.post;plosive.post;NA;;;;;;;0;dom.anim;korova;;;;;
127;bytchok (ot odnogo goda do trekh let);gunz;3;buhido;b;labial;labial;1;;;;;;;0;dom.anim;korova;;;;;
