NN;lex_rus;lang;class;lex_nd;first_cons;cons_type_old;cons_type;CL_SG;final_cons;fin_cons_type;POST_SG;first_vowel;vowel_type;lex_rus_sem;compound;semantics_KK;semantics_KK_detailed;;;;;
3;glaz;kryz;3;ʕül;ʕ;fricative.post;fricative.post;NA;l;liquid;0;;;;0;body;golova i sheja;;;;;
3;glaz;bud;3;ʕül;ʕ;fricative.post;fricative.post;NA;l;liquid;0;;;;0;body;golova i sheja;;;;;
3;glaz;hin;3;pil;p;labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;and;5;nidu;n;nasal;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;cham;NA;NA;NA;NA;NA;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;chamg;4;haduʟ čaj;h;fricative.post;fricative.post;NA;;;;;;|glaza voloc|;1;body;golova i sheja;;;;;
4;recnitsa;inh;4;ezas kõ;NA;NA;NA;NA;;;;e;;|glaza voloc|;1;body;golova i sheja;;;;;
4;recnitsa;bezht;4;c'ic';c';anterior;anterior;NA;;;;;;=brov';0;body;golova i sheja;;;;;
4;recnitsa;bezhh;4;c'ic';c';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;gunz;4;c'ɨc';c';anterior;anterior;NA;;;;;;=brov';0;body;golova i sheja;;;;;
4;recnitsa;tsez;4;c'ec';c';anterior;anterior;NA;;;;;;=brov';0;body;golova i sheja;;;;;
4;recnitsa;gin;4;c'ec';c';anterior;anterior;NA;;;;;;=brov';0;body;golova i sheja;;;;;
4;recnitsa;lak;NA;NA;NA;NA;NA;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;arch;4;lullin cal;l;liquid;liquid;NA;;;;;;|glaza krylo|;1;body;golova i sheja;;;;;
4;recnitsa;rutl;4;ʁ1ɨbri;ʁ;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;tsah;3;kilypiky;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;tsahg;3;kirpiky;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
4;recnitsa;tsahc;4;kirpiky;k;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
